Date,Coordinates,Value,Nearest_NDVI
2024-06-01,"626490.0, 5802910.0",0.02007813,0.12154643
2024-06-01,"626510.0, 5802910.0",0.023753619,-0.026382223
2024-06-01,"626530.0, 5802910.0",0.0942827,0.10031334
2024-06-01,"626550.0, 5802910.0",0.10463848,0.08378012
2024-06-01,"626570.0, 5802910.0",0.065302156,0.16631967
2024-06-01,"626590.0, 5802910.0",0.054937877,0.26484802
2024-06-01,"626610.0, 5802910.0",0.10246973,0.17080256
2024-06-01,"626630.0, 5802910.0",0.14038688,0.12297714
2024-06-01,"626650.0, 5802910.0",0.15848142,0.16720562
2024-06-01,"626670.0, 5802910.0",0.13823098,0.07179359
2024-06-01,"626690.0, 5802910.0",0.119133145,0.12043848
2024-06-01,"626710.0, 5802910.0",0.11612552,0.1778458
2024-06-01,"626730.0, 5802910.0",0.08630192,0.08523661
2024-06-01,"626750.0, 5802910.0",0.1008374,0.13239987
2024-06-01,"626770.0, 5802910.0",0.11202613,0.061636925
2024-06-01,"626790.0, 5802910.0",0.095034696,0.060074516
2024-06-01,"626810.0, 5802910.0",0.10595262,0.016430574
2024-06-01,"626830.0, 5802910.0",0.11717186,0.09863881
2024-06-01,"626850.0, 5802910.0",0.110499024,0.18955635
2024-06-01,"626870.0, 5802910.0",0.10346208,0.018351331
2024-06-01,"626890.0, 5802910.0",0.15277094,0.020771679
2024-06-01,"626910.0, 5802910.0",0.19761428,0.07552637
2024-06-01,"626930.0, 5802910.0",0.19005091,0.09076335
2024-06-01,"626950.0, 5802910.0",0.13664529,0.002327512
2024-06-01,"626970.0, 5802910.0",0.08823021,0.020125741
2024-06-01,"626990.0, 5802910.0",0.13678493,0.044185404
2024-06-01,"627010.0, 5802910.0",0.14445214,0.019426085
2024-06-01,"627030.0, 5802910.0",0.15090375,0.07731018
2024-06-01,"627050.0, 5802910.0",0.12896708,0.022559986
2024-06-01,"627070.0, 5802910.0",0.13359927,0.071873054
2024-06-01,"627090.0, 5802910.0",0.11738354,0.0061235363
2024-06-01,"627110.0, 5802910.0",0.0948642,0.062411644
2024-06-01,"627130.0, 5802910.0",0.11292738,0.10291502
2024-06-01,"627150.0, 5802910.0",0.105984755,0.21757674
2024-06-01,"627170.0, 5802910.0",0.15148048,0.07210805
2024-06-01,"627190.0, 5802910.0",0.17059077,0.074904405
2024-06-01,"627210.0, 5802910.0",0.13327724,0.18411289
2024-06-01,"627230.0, 5802910.0",0.13181016,0.019943373
2024-06-01,"627250.0, 5802910.0",0.19272608,0.07175332
2024-06-01,"627270.0, 5802910.0",0.21406059,0.115820356
2024-06-01,"627290.0, 5802910.0",0.16126886,0.23760211
2024-06-01,"627310.0, 5802910.0",0.10439947,0.2282655
2024-06-01,"627330.0, 5802910.0",0.113472186,0.14399359
2024-06-01,"627350.0, 5802910.0",0.10836456,0.1023549
2024-06-01,"627370.0, 5802910.0",0.09930556,0.045241266
2024-06-01,"627390.0, 5802910.0",0.09712298,0.07363902
2024-06-01,"627410.0, 5802910.0",0.10176472,0.013313084
2024-06-01,"627430.0, 5802910.0",0.08422991,0.1217631
2024-06-01,"627450.0, 5802910.0",0.0742726,0.023570998
2024-06-01,"627470.0, 5802910.0",0.09459581,0.082731254
2024-06-01,"627490.0, 5802910.0",0.111904286,0.009533562
2024-06-01,"627510.0, 5802910.0",0.09361209,0.18923803
2024-06-01,"627530.0, 5802910.0",0.076430425,0.18617754
2024-06-01,"627550.0, 5802910.0",0.08348358,0.21494316
2024-06-01,"627570.0, 5802910.0",0.20424852,0.104415886
2024-06-01,"627590.0, 5802910.0",0.12916543,0.15143454
2024-06-01,"627610.0, 5802910.0",0.08114469,0.089803986
2024-06-01,"627630.0, 5802910.0",0.11008165,0.046108484
2024-06-01,"627650.0, 5802910.0",0.11942402,0.05941601
2024-06-01,"627670.0, 5802910.0",0.11213498,0.20669325
2024-06-01,"627690.0, 5802910.0",0.16308734,0.19748722
2024-06-01,"627710.0, 5802910.0",0.1975236,0.08983311
2024-06-01,"627730.0, 5802910.0",0.106750734,0.09255469
2024-06-01,"627750.0, 5802910.0",0.0775229,0.12990479
2024-06-01,"627770.0, 5802910.0",0.10325575,0.07270548
2024-06-01,"627790.0, 5802910.0",0.1250622,0.22692198
2024-06-01,"627810.0, 5802910.0",0.11323608,0.11267728
2024-06-01,"627830.0, 5802910.0",0.14502732,0.15381902
2024-06-01,"627850.0, 5802910.0",0.20184077,0.024629872
2024-06-01,"627870.0, 5802910.0",0.3839668,0.13622686
2024-06-01,"627890.0, 5802910.0",0.26271826,0.0930871
2024-06-01,"627910.0, 5802910.0",0.16759549,0.12016043
2024-06-01,"627930.0, 5802910.0",0.13024056,0.01287096
2024-06-01,"627950.0, 5802910.0",0.073464274,0.22379845
2024-06-01,"627970.0, 5802910.0",0.077086695,0.2505689
2024-06-01,"627990.0, 5802910.0",0.09335351,0.27228576
2024-06-01,"628010.0, 5802910.0",0.09398085,0.29516143
2024-06-01,"628030.0, 5802910.0",0.08672702,0.25349888
2024-06-01,"628050.0, 5802910.0",0.1014574,0.15287733
2024-06-01,"628070.0, 5802910.0",0.07875642,0.116891496
2024-06-01,"628090.0, 5802910.0",0.0500368,0.18764953
2024-06-01,"628110.0, 5802910.0",0.05240229,0.09899367
2024-06-01,"628130.0, 5802910.0",0.09043808,0.2753528
2024-06-01,"628150.0, 5802910.0",0.08712749,0.34396538
2024-06-01,"628170.0, 5802910.0",0.117334925,0.14402482
2024-06-01,"628190.0, 5802910.0",0.16189258,0.062327564
2024-06-01,"626210.0, 5802890.0",0.062442396,0.12924306
2024-06-01,"626230.0, 5802890.0",0.059632458,0.19941069
2024-06-01,"626250.0, 5802890.0",0.062320832,0.08259552
2024-06-01,"626270.0, 5802890.0",0.08285069,0.09133963
2024-06-01,"626290.0, 5802890.0",0.08291796,0.18486765
